experiment,drift_type,drift_magnitude,model,drift_level,accuracy,precision,recall,f1_score,roc_auc
covariate_drift,Covariate,0.0,Logistic Regression,0.0,0.7792760823278921,0.6039603960396039,0.4893048128342246,0.5406203840472673,0.8249954790875506
covariate_drift,Covariate,0.0,Random Forest,0.0,0.7601135557132718,0.5548780487804879,0.48663101604278075,0.5185185185185185,0.7883450877057016
covariate_drift,Covariate,0.0,XGBoost,0.0,0.7792760823278921,0.6032786885245902,0.4919786096256685,0.5419734904270986,0.8213051228396497
covariate_drift,Covariate,0.0,SVM,0.0,0.7345635202271115,0.0,0.0,0.0,0.797381745847219
covariate_drift,Covariate,0.1,Logistic Regression,0.1,0.7792760823278921,0.6067796610169491,0.4786096256684492,0.5351270553064275,0.8248159342788499
covariate_drift,Covariate,0.1,Random Forest,0.1,0.7750177430801988,0.5922330097087378,0.4893048128342246,0.5358711566617862,0.8042858250019375
covariate_drift,Covariate,0.1,XGBoost,0.1,0.772888573456352,0.5865384615384616,0.4893048128342246,0.5335276967930029,0.8174378051615904
covariate_drift,Covariate,0.1,SVM,0.1,0.7345635202271115,0.0,0.0,0.0,0.7981373840708879
covariate_drift,Covariate,0.2,Logistic Regression,0.2,0.7828246983676366,0.6180555555555556,0.47593582887700536,0.5377643504531722,0.8244361776331085
covariate_drift,Covariate,0.2,Random Forest,0.2,0.7672107877927609,0.5815602836879432,0.4385026737967914,0.5,0.7948474514970679
covariate_drift,Covariate,0.2,XGBoost,0.2,0.7814052519517388,0.6195652173913043,0.4572192513368984,0.5261538461538462,0.8098891730605287
covariate_drift,Covariate,0.2,SVM,0.2,0.7345635202271115,0.0,0.0,0.0,0.797432121728797
covariate_drift,Covariate,0.3,Logistic Regression,0.3,0.7814052519517388,0.6161971830985915,0.4679144385026738,0.5319148936170213,0.8240745046371644
covariate_drift,Covariate,0.3,Random Forest,0.3,0.765791341376863,0.5758620689655173,0.446524064171123,0.5030120481927711,0.8033105996021599
covariate_drift,Covariate,0.3,XGBoost,0.3,0.7821149751596878,0.6254681647940075,0.446524064171123,0.5210608424336973,0.8195768425947454
covariate_drift,Covariate,0.3,SVM,0.3,0.7345635202271115,0.0,0.0,0.0,0.7976439587692786
covariate_drift,Covariate,0.5,Logistic Regression,0.5,0.7806955287437899,0.6164874551971327,0.45989304812834225,0.5267993874425727,0.8236869978557959
covariate_drift,Covariate,0.5,Random Forest,0.5,0.7544357700496807,0.5534351145038168,0.3877005347593583,0.4559748427672956,0.7895851094060813
covariate_drift,Covariate,0.5,XGBoost,0.5,0.7686302342086586,0.59375,0.40641711229946526,0.48253968253968255,0.8059443540261955
covariate_drift,Covariate,0.5,SVM,0.5,0.7345635202271115,0.0,0.0,0.0,0.7936810560851482
covariate_drift,Covariate,0.7,Logistic Regression,0.7,0.7771469127040455,0.6136363636363636,0.43315508021390375,0.5078369905956113,0.8231083210622853
covariate_drift,Covariate,0.7,Random Forest,0.7,0.7601135557132718,0.5714285714285714,0.3850267379679144,0.46006389776357826,0.7894223565579065
covariate_drift,Covariate,0.7,XGBoost,0.7,0.7679205110007097,0.5893536121673004,0.4144385026737968,0.48665620094191525,0.8090353664522462
covariate_drift,Covariate,0.7,SVM,0.7,0.7345635202271115,0.0,0.0,0.0,0.7808080808080808
covariate_drift,Covariate,1.0,Logistic Regression,1.0,0.7885024840312278,0.6570247933884298,0.42513368983957217,0.5162337662337663,0.8220956366736417
covariate_drift,Covariate,1.0,Random Forest,1.0,0.7501774308019872,0.5555555555555556,0.29411764705882354,0.38461538461538464,0.7838060916066031
covariate_drift,Covariate,1.0,XGBoost,1.0,0.7707594038325053,0.6,0.4090909090909091,0.4864864864864865,0.8029037174817226
covariate_drift,Covariate,1.0,SVM,1.0,0.7345635202271115,0.0,0.0,0.0,0.7681856932496319
